RangeFanPoints
A) 65°07’49.0”N 147°29’01.1”W 
B) 65°39’23.4”N 148°19’11.7”W 
C) 65°41’25.0”N 148°10’57.1”W 
D) 65°41’01.5”N 146°45’19.6”W 
E) 65°38’35.2”N 146°36’03.0”W 
F) 65°30’08.4”N 146°15’47.5”W 
G) 65°18’16.3”N 146°02’11.3”W 
H) 66°09’34.8”N  148°47’35.6”W 
I)  66°08’50.9”N  146°07’09.7”W 
J) 66°04’17.5”N 145°49’54.3”W 
K) 65°48’33.2”N 145°12’33.3”W 
L) 67°06’08.7”N 150°05’42.1”W 
M) 67°27’17.8”N 143°07’34.1”W 
N) 66°46’24.2”N 141°34’19.5”W 
O) 68°31’33.0”N 145°29’31.1”W 
P)  68°12’33.4”N  143°20’27.3”W 
Q)  68°08’51.1”N  143°03’45.0”W 
R)  69°00’51.4”N  148°25’58.2”W 
S) 68°55’53.6”N 145°12’56.1”W 
T)  69°18’40.1”N  144°56’53.4”W 
U)  68°56’53.2”N  142°24’20.8”W 
V) 68°54’39.8”N  142°13’38.7”W 
W) 70°12’45.0”N  144°16’33.5”W 
X)  69°48’25.0”N  141°00’00.0”W 
Y)  69°02’00.0”N  147°45’00.0”W 
Z) 69°40’00.0”N 147°45’00.0”W 
AA)  69°42’00.0”N  144°45’00.0”W 
